Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.000000	 0.785398
0.000063	 inf 	 
0.000126	 inf 	 
0.000188	 inf 	 
0.000251	 inf 	 
0.000314	 inf 	 
0.000377	 inf 	 
0.000440	 inf 	 
0.000503	 inf 	 
0.000565	 inf 	 
0.000628	 inf 	 
0.000691	 inf 	 
0.000754	 inf 	 
0.000817	 inf 	 
0.000880	 inf 	 
0.000942	 inf 	 
0.001005	 inf 	 
0.001068	 inf 	 
0.001131	 inf 	 
0.001194	 inf 	 
0.001257	 inf 	 
0.001319	 inf 	 
0.001382	 inf 	 
0.001445	 inf 	 
0.001508	 inf 	 
0.001571	 inf 	 
0.001634	 inf 	 
0.001696	 inf 	 
0.001759	 inf 	 
0.001822	 inf 	 
0.001885	 inf 	 
0.001948	 inf 	 
0.002011	 inf 	 
0.002073	 inf 	 
0.002136	 inf 	 
0.002199	 inf 	 
0.002262	 inf 	 
0.002325	 inf 	 
0.002388	 inf 	 
0.002450	 inf 	 
0.002513	 inf 	 
0.002576	 inf 	 
0.002639	 inf 	 
0.002702	 inf 	 
0.002765	 inf 	 
0.002827	 inf 	 
0.002890	 inf 	 
0.002953	 inf 	 
0.003016	 inf 	 
0.003079	 inf 	 
0.003142	 inf 	 
0.003204	 inf 	 
0.003267	 inf 	 
0.003330	 inf 	 
0.003393	 inf 	 
0.003456	 inf 	 
0.003519	 inf 	 
0.003581	 inf 	 
0.003644	 inf 	 
0.003707	 inf 	 
0.003770	 inf 	 
0.003833	 inf 	 
0.003896	 inf 	 
0.003958	 inf 	 
0.004021	 inf 	 
0.004084	 inf 	 
0.004147	 inf 	 
0.004210	 inf 	 
0.004273	 inf 	 
0.004335	 inf 	 
0.004398	 inf 	 
0.004461	 inf 	 
0.004524	 inf 	 
0.004587	 inf 	 
0.004650	 inf 	 
0.004712	 inf 	 
0.004775	 inf 	 
0.004838	 inf 	 
0.004901	 inf 	 
0.004964	 inf 	 
0.005027	 inf 	 
0.005089	 inf 	 
0.005152	 inf 	 
0.005215	 inf 	 
0.005278	 inf 	 
0.005341	 inf 	 
0.005404	 inf 	 
0.005466	 inf 	 
0.005529	 inf 	 
0.005592	 inf 	 
0.005655	 inf 	 
0.005718	 inf 	 
0.005781	 inf 	 
0.005843	 inf 	 
0.005906	 inf 	 
0.005969	 inf 	 
0.006032	 inf 	 
0.006095	 inf 	 
0.006158	 inf 	 
0.006220	 inf 	 
0.006283	 inf 	 
0.006346	 inf 	 
0.006409	 inf 	 
0.006472	 inf 	 
0.006535	 inf 	 
0.006597	 inf 	 
0.006660	 inf 	 
0.006723	 inf 	 
0.006786	 inf 	 
0.006849	 inf 	 
0.006912	 inf 	 
0.006974	 inf 	 
0.007037	 inf 	 
0.007100	 inf 	 
0.007163	 inf 	 
0.007226	 inf 	 
0.007288	 inf 	 
0.007351	 inf 	 
0.007414	 inf 	 
0.007477	 inf 	 
0.007540	 inf 	 
0.007603	 inf 	 
0.007665	 inf 	 
0.007728	 inf 	 
0.007791	 inf 	 
0.007854	 inf 	 
0.007917	 inf 	 
0.007980	 inf 	 
0.008042	 inf 	 
0.008105	 inf 	 
0.008168	 inf 	 
0.008231	 inf 	 
0.008294	 inf 	 
0.008357	 inf 	 
0.008419	 inf 	 
0.008482	 inf 	 
0.008545	 inf 	 
0.008608	 inf 	 
0.008671	 inf 	 
0.008734	 inf 	 
0.008796	 inf 	 
0.008859	 inf 	 
0.008922	 inf 	 
0.008985	 inf 	 
0.009048	 inf 	 
0.009111	 inf 	 
0.009173	 inf 	 
0.009236	 inf 	 
0.009299	 inf 	 
0.009362	 inf 	 
0.009425	 inf 	 
0.009488	 inf 	 
0.009550	 inf 	 
0.009613	 inf 	 
0.009676	 inf 	 
0.009739	 inf 	 
0.009802	 inf 	 
0.009865	 inf 	 
0.009927	 inf 	 
0.009990	 inf 	 
0.010053	 inf 	 
0.010116	 inf 	 
0.010179	 inf 	 
