Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.000000	 0.785398
0.000063	 0.785458 	 
0.000126	 0.785518 	 
0.000188	 0.785577 	 
0.000251	 0.785637 	 
0.000314	 0.785697 	 
0.000377	 0.785757 	 
0.000440	 0.785817 	 
0.000503	 0.785876 	 
0.000565	 0.785936 	 
0.000628	 0.785996 	 
0.000691	 0.786056 	 
0.000754	 0.786116 	 
0.000817	 0.786175 	 
0.000880	 0.786235 	 
0.000942	 0.786295 	 
0.001005	 0.786355 	 
0.001068	 0.786415 	 
0.001131	 0.786474 	 
0.001194	 0.786534 	 
0.001257	 0.786594 	 
0.001319	 0.786654 	 
0.001382	 0.786714 	 
0.001445	 0.786774 	 
0.001508	 0.786833 	 
0.001571	 0.786893 	 
0.001634	 0.786953 	 
0.001696	 0.787013 	 
0.001759	 0.787073 	 
0.001822	 0.787133 	 
0.001885	 0.787192 	 
0.001948	 0.787252 	 
0.002011	 0.787312 	 
0.002073	 0.787372 	 
0.002136	 0.787432 	 
0.002199	 0.787492 	 
0.002262	 0.787552 	 
0.002325	 0.787611 	 
0.002388	 0.787671 	 
0.002450	 0.787731 	 
0.002513	 0.787791 	 
0.002576	 0.787851 	 
0.002639	 0.787911 	 
0.002702	 0.787971 	 
0.002765	 0.788031 	 
0.002827	 0.788091 	 
0.002890	 0.788150 	 
0.002953	 0.788210 	 
0.003016	 0.788270 	 
0.003079	 0.788330 	 
0.003142	 0.788390 	 
0.003204	 0.788450 	 
0.003267	 0.788510 	 
0.003330	 0.788570 	 
0.003393	 0.788630 	 
0.003456	 0.788690 	 
0.003519	 0.788750 	 
0.003581	 0.788810 	 
0.003644	 0.788870 	 
0.003707	 0.788929 	 
0.003770	 0.788989 	 
0.003833	 0.789049 	 
0.003896	 0.789109 	 
0.003958	 0.789169 	 
0.004021	 0.789229 	 
0.004084	 0.789289 	 
0.004147	 0.789349 	 
0.004210	 0.789409 	 
0.004273	 0.789469 	 
0.004335	 0.789529 	 
0.004398	 0.789589 	 
0.004461	 0.789649 	 
0.004524	 0.789709 	 
0.004587	 0.789769 	 
0.004650	 0.789829 	 
0.004712	 0.789889 	 
0.004775	 0.789949 	 
0.004838	 0.790009 	 
0.004901	 0.790069 	 
0.004964	 0.790129 	 
0.005027	 0.790189 	 
0.005089	 0.790249 	 
0.005152	 0.790309 	 
0.005215	 0.790369 	 
0.005278	 0.790429 	 
0.005341	 0.790489 	 
0.005404	 0.790549 	 
0.005466	 0.790609 	 
0.005529	 0.790669 	 
0.005592	 0.790729 	 
0.005655	 0.790789 	 
0.005718	 0.790849 	 
0.005781	 0.790909 	 
0.005843	 0.790969 	 
0.005906	 0.791029 	 
0.005969	 0.791089 	 
0.006032	 0.791149 	 
0.006095	 0.791209 	 
0.006158	 0.791270 	 
0.006220	 0.791330 	 
0.006283	 0.791390 	 
0.006346	 0.791450 	 
0.006409	 0.791510 	 
0.006472	 0.791570 	 
0.006535	 0.791630 	 
0.006597	 0.791690 	 
0.006660	 0.791750 	 
0.006723	 0.791810 	 
0.006786	 0.791870 	 
0.006849	 0.791930 	 
0.006912	 0.791990 	 
0.006974	 0.792051 	 
0.007037	 0.792111 	 
0.007100	 0.792171 	 
0.007163	 0.792231 	 
0.007226	 0.792291 	 
0.007288	 0.792351 	 
0.007351	 0.792411 	 
0.007414	 0.792471 	 
0.007477	 0.792531 	 
0.007540	 0.792592 	 
0.007603	 0.792652 	 
0.007665	 0.792712 	 
0.007728	 0.792772 	 
0.007791	 0.792832 	 
0.007854	 0.792892 	 
0.007917	 0.792952 	 
0.007980	 0.793012 	 
0.008042	 0.793073 	 
0.008105	 0.793133 	 
0.008168	 0.793193 	 
0.008231	 0.793253 	 
0.008294	 0.793313 	 
0.008357	 0.793373 	 
0.008419	 0.793434 	 
0.008482	 0.793494 	 
0.008545	 0.793554 	 
0.008608	 0.793614 	 
0.008671	 0.793674 	 
0.008734	 0.793734 	 
0.008796	 0.793795 	 
0.008859	 0.793855 	 
0.008922	 0.793915 	 
0.008985	 0.793975 	 
0.009048	 0.794035 	 
0.009111	 0.794096 	 
0.009173	 0.794156 	 
0.009236	 0.794216 	 
0.009299	 0.794276 	 
0.009362	 0.794336 	 
0.009425	 0.794397 	 
0.009488	 0.794457 	 
0.009550	 0.794517 	 
0.009613	 0.794577 	 
0.009676	 0.794637 	 
0.009739	 0.794698 	 
0.009802	 0.794758 	 
0.009865	 0.794818 	 
0.009927	 0.794878 	 
0.009990	 0.794939 	 
0.010053	 0.794999 	 
0.010116	 0.795059 	 
0.010179	 0.795119 	 
0.010242	 0.795180 	 
0.010304	 0.795240 	 
0.010367	 0.795300 	 
0.010430	 0.795360 	 
0.010493	 0.795421 	 
0.010556	 0.795481 	 
0.010619	 0.795541 	 
0.010681	 0.795601 	 
0.010744	 0.795662 	 
0.010807	 0.795722 	 
0.010870	 0.795782 	 
0.010933	 0.795843 	 
0.010996	 0.795903 	 
0.011058	 0.795963 	 
0.011121	 0.796023 	 
0.011184	 0.796084 	 
0.011247	 0.796144 	 
0.011310	 0.796204 	 
0.011373	 0.796265 	 
0.011435	 0.796325 	 
0.011498	 0.796385 	 
0.011561	 0.796446 	 
0.011624	 0.796506 	 
0.011687	 0.796566 	 
0.011750	 0.796626 	 
0.011812	 0.796687 	 
0.011875	 0.796747 	 
0.011938	 0.796807 	 
0.012001	 0.796868 	 
0.012064	 0.796928 	 
0.012127	 0.796988 	 
0.012189	 0.797049 	 
0.012252	 0.797109 	 
0.012315	 0.797170 	 
0.012378	 0.797230 	 
0.012441	 0.797290 	 
0.012504	 0.797351 	 
0.012566	 0.797411 	 
0.012629	 0.797471 	 
0.012692	 0.797532 	 
0.012755	 0.797592 	 
0.012818	 0.797652 	 
0.012881	 0.797713 	 
0.012943	 0.797773 	 
0.013006	 0.797834 	 
0.013069	 0.797894 	 
0.013132	 0.797954 	 
0.013195	 0.798015 	 
0.013258	 0.798075 	 
0.013320	 0.798135 	 
0.013383	 0.798196 	 
0.013446	 0.798256 	 
0.013509	 0.798317 	 
0.013572	 0.798377 	 
0.013635	 0.798437 	 
0.013697	 0.798498 	 
0.013760	 0.798558 	 
0.013823	 0.798619 	 
0.013886	 0.798679 	 
0.013949	 0.798740 	 
0.014012	 0.798800 	 
0.014074	 0.798860 	 
0.014137	 0.798921 	 
0.014200	 0.798981 	 
0.014263	 0.799042 	 
0.014326	 0.799102 	 
0.014388	 0.799163 	 
0.014451	 0.799223 	 
0.014514	 0.799283 	 
0.014577	 0.799344 	 
0.014640	 0.799404 	 
0.014703	 0.799465 	 
0.014765	 0.799525 	 
0.014828	 0.799586 	 
0.014891	 0.799646 	 
0.014954	 0.799707 	 
0.015017	 0.799767 	 
0.015080	 0.799828 	 
0.015142	 0.799888 	 
0.015205	 0.799949 	 
0.015268	 0.800009 	 
0.015331	 0.800070 	 
0.015394	 0.800130 	 
0.015457	 0.800191 	 
0.015519	 0.800251 	 
0.015582	 0.800312 	 
0.015645	 0.800372 	 
0.015708	 0.800433 	 
0.015771	 0.800493 	 
0.015834	 0.800554 	 
0.015896	 0.800614 	 
0.015959	 0.800675 	 
0.016022	 0.800735 	 
0.016085	 0.800796 	 
0.016148	 0.800856 	 
0.016211	 0.800917 	 
0.016273	 0.800977 	 
0.016336	 0.801038 	 
0.016399	 0.801098 	 
0.016462	 0.801159 	 
0.016525	 0.801219 	 
0.016588	 0.801280 	 
0.016650	 0.801340 	 
0.016713	 0.801401 	 
0.016776	 0.801462 	 
0.016839	 0.801522 	 
0.016902	 0.801583 	 
0.016965	 0.801643 	 
0.017027	 0.801704 	 
0.017090	 0.801764 	 
0.017153	 0.801825 	 
0.017216	 0.801886 	 
0.017279	 0.801946 	 
0.017342	 0.802007 	 
0.017404	 0.802067 	 
0.017467	 0.802128 	 
0.017530	 0.802188 	 
0.017593	 0.802249 	 
0.017656	 0.802310 	 
0.017719	 0.802370 	 
0.017781	 0.802431 	 
0.017844	 0.802491 	 
0.017907	 0.802552 	 
0.017970	 0.802613 	 
0.018033	 0.802673 	 
0.018096	 0.802734 	 
0.018158	 0.802794 	 
0.018221	 0.802855 	 
0.018284	 0.802916 	 
0.018347	 0.802976 	 
0.018410	 0.803037 	 
0.018473	 0.803098 	 
0.018535	 0.803158 	 
0.018598	 0.803219 	 
0.018661	 0.803280 	 
0.018724	 0.803340 	 
0.018787	 0.803401 	 
0.018850	 0.803461 	 
0.018912	 0.803522 	 
0.018975	 0.803583 	 
0.019038	 0.803643 	 
0.019101	 0.803704 	 
